客户ID,客户名称,签约类型,尝试授权量,授权成功量,爬取成功量,报告生成量,爬取成功号码量,授权成功率,爬取成功率,报告生成率,爬取成功量同比昨天增减情况,账号名称
173,大箴科技,已签约已付费,"2,639","2,258","2,248","2,241","1,287",85.60%,99.60%,99.70%,112,大箴科技 | 央金所 | 永夯科技加油站项目
43,口子金融,已签约已付费,"2,149","1,454","1,433","1,429","1,413",67.70%,98.60%,99.70%,-22,口子金融 | 口子金融APP
94,苏宁华为钱包,特殊客户,"1,032",719,708,705,678,69.70%,98.50%,99.60%,172,苏宁-华为钱包
197,融宝通,已签约已付费,833,651,648,644,478,78.20%,99.50%,99.40%,-168,融宝通
227,融宝通17,已签约已付费,737,529,525,525,461,71.80%,99.20%,100%,254,融宝通17
202,福州微微云-小草,已签约已付费,605,509,505,502,498,84.10%,99.20%,99.40%,209,福州微微云-小草
5,分啦分期,已签约已付费,470,382,370,368,343,81.30%,96.90%,99.50%,-59,分啦分期 | 分啦分期1 | 分啦分期2
194,宝德融资租赁,已签约已付费,411,250,246,242,240,60.80%,98.40%,98.40%,91,宝德融资租赁 | 宝德融资租赁H5 | 宝德融资租赁测试 | 宝德融资租赁H5测试
179,资趣科技,已签约已付费,461,249,244,242,227,54%,98%,99.20%,-3,资趣科技
59,惠泰投资,已签约已付费,275,244,242,240,232,88.70%,99.20%,99.20%,40,惠泰投资 | 惠泰-牛牛贷
235,融宝通26,已签约已付费,302,225,223,221,201,74.50%,99.10%,99.10%,-185,融宝通26
224,融宝通16,已签约已付费,277,182,180,179,151,65.70%,98.90%,99.40%,45,融宝通16
240,融宝通30,已签约已付费,229,175,175,173,172,76.40%,100%,98.90%,-76,融宝通30
140,祥丰投资,已签约已付费,168,147,146,145,133,87.50%,99.30%,99.30%,39,祥丰投资
253,Mo9,已签约已付费,87,75,73,72,66,86.20%,97.30%,98.60%,13,Mo9 | Mo9-A | Mo9-B | mo9-C
236,融宝通20,已签约已付费,87,70,69,69,64,80.50%,98.60%,100%,25,融宝通20
234,融宝通10,已签约已付费,54,50,50,50,37,92.60%,100%,100%,37,融宝通10
12,平添,已签约已付费,50,42,42,42,36,84%,100%,100%,33,平添 | 平添1
231,融宝通25,已签约已付费,51,40,40,40,21,78.40%,100%,100%,6,融宝通25
51,通商银行,已签约已付费,50,36,35,35,35,72%,97.20%,100%,26,通商银行
82,联银信息,已签约已付费,73,36,34,34,34,49.30%,94.40%,100%,13,联银信息
135,呱呱车贷,已签约已付费,46,37,34,34,33,80.40%,91.90%,100%,33,呱呱车贷 | 呱呱车贷-深圳二店 | 呱呱车贷-郑州一店 | 呱呱车贷-兰州一店 | 呱呱车贷-深圳一店 | 呱呱车贷-海口一店 | 呱呱车贷-东莞一店 | 呱呱车贷-昆明一店 | 呱呱车贷-南宁一店 | 呱呱车贷-银川一店 | 呱呱车贷-成都一店 | 呱呱车贷-贵阳一店 | 呱呱车贷-武汉一店 | 呱呱车贷-西安一店
62,重信金融,已签约已付费,38,33,33,33,33,86.80%,100%,100%,-11,重信金融测试
49,量富,已签约已付费,39,32,32,32,31,82.10%,100%,100%,31,量富
39,紫金普惠,已签约已付费,37,26,26,26,26,70.30%,100%,100%,25,紫金普惠
90,骑呗,已签约已付费,38,25,25,25,18,65.80%,100%,100%,-14,骑呗
147,2345车贷,已签约已付费,47,25,25,25,21,53.20%,100%,100%,15,2345车贷
263,易通行,已签约已付费,37,28,25,25,23,75.70%,89.30%,100%,-14,易通行
232,融宝通09,已签约已付费,29,19,19,19,18,65.50%,100%,100%,13,融宝通09
4,中远海运,已签约已付费,31,18,17,15,17,58.10%,94.40%,88.20%,14,中远海运 | 中远海运测试
223,融宝通05,已签约已付费,15,14,14,14,14,93.30%,100%,100%,8,融宝通05
225,融宝通06,已签约已付费,16,13,13,13,13,81.30%,100%,100%,0,融宝通06
3,苏宁金融,特殊客户,10,7,6,6,6,70%,85.70%,100%,2,苏宁金融
9,云车,已签约已付费,4,3,3,3,3,75%,100%,100%,3,云车
14,启元信息,已签约已付费,4,3,3,3,3,75%,100%,100%,3,启元信息 | 启元信息测试环境 | 启元-泰优贷 | 启元-泰优贷测试
99,正勤金融-无前置,已签约已付费,6,2,2,2,2,33.30%,100%,100%,2,正勤金融-无前置
207,悦车网,已签约已付费,3,2,2,2,2,66.70%,100%,100%,2,悦车网
249,同钱信息,已签约已付费,2,2,2,2,2,100%,100%,100%,1,同钱信息
7,永仑车汇,已签约已付费,2,1,1,1,1,50%,100%,100%,1,永仑车汇 | 永仑车汇1
32,有袋科技,已签约已付费,0,0,0,0,0,NA,NA,NA,0,有袋科技
33,众安科技,已签约已付费,0,0,0,0,0,NA,NA,NA,0,众安科技
6,柠檬科技,已签约已付费,0,0,0,0,0,NA,NA,NA,0,柠檬科技 | 柠檬科技测试
8,芃诚科技,已签约已付费,0,0,0,0,0,NA,NA,NA,0,芃诚科技 | 芃诚科技1 | 芃诚科技2
11,苏宁金融 - 测试,特殊客户,0,0,0,0,0,NA,NA,NA,0,苏宁金融 - 测试
44,赚赚金融,已签约已付费,0,0,0,0,0,NA,NA,NA,0,赚赚金融
45,宜农卓越,已签约已付费,0,0,0,0,0,NA,NA,NA,0,宜农卓越
47,满兜理财,已签约已付费,0,0,0,0,0,NA,NA,NA,0,满兜理财
156,鑫合汇,已签约已付费,0,0,0,0,0,NA,NA,NA,0,鑫合汇
13,翼倍,已签约已付费,0,0,0,0,0,NA,NA,NA,0,翼倍 | 翼倍测试
52,易车无忧,已签约已付费,0,0,0,0,0,NA,NA,NA,0,易车无忧
53,暮霖金融,已签约已付费,0,0,0,0,0,NA,NA,NA,0,暮霖金融
54,华泰汽车金融,已签约未付费,0,0,0,0,0,NA,NA,NA,0,华泰汽车金融
55,财富农场,已签约已付费,0,0,0,0,0,NA,NA,NA,0,财富农场
57,徙木金融,已签约已付费,0,0,0,0,0,NA,NA,NA,0,徙木金融
18,苏宁金融pre,特殊客户,0,0,0,0,0,NA,NA,NA,0,苏宁金融pre
63,大师兄钱包,已签约已付费,0,0,0,0,0,NA,NA,NA,0,大师兄钱包
65,华兴银行,已签约未付费,0,0,0,0,0,NA,NA,NA,0,华兴银行
68,日益网,已签约已付费,0,0,0,0,0,NA,NA,NA,0,日益网
72,久劲,已签约已付费,0,0,0,0,0,NA,NA,NA,0,久劲
73,福州微微云,已签约已付费,0,0,0,0,0,NA,NA,NA,0,福州微微云
75,中投,已签约未付费,0,0,0,0,0,NA,NA,NA,0,中投
92,壹公里,已签约已付费,0,0,0,0,0,NA,NA,NA,0,壹公里
98,正勤金融-有前置,已签约已付费,0,0,0,0,0,NA,NA,NA,0,正勤金融-有前置
125,一步信息,已签约已付费,0,0,0,0,0,NA,NA,NA,0,一步信息
127,富民银行,已签约未付费,0,0,0,0,0,NA,NA,NA,0,富民银行
139,苏宁-华为钱包测试环境,特殊客户,0,0,0,0,0,NA,NA,NA,0,苏宁-华为钱包测试环境
141,钱多多,已签约已付费,0,0,0,0,0,NA,NA,NA,0,钱多多
151,正勤金融-api,已签约已付费,0,0,0,0,0,NA,NA,NA,0,正勤金融-api
185,滴滴金融,已签约已付费,0,0,0,0,0,NA,NA,NA,0,滴滴金融
200,聚优财,已签约未付费,0,0,0,0,0,NA,NA,NA,0,聚优财
211,融宝通21,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通21
213,融宝通01,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通01
212,融宝通11,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通11
215,融宝通12,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通12
216,融宝通02,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通02
214,融宝通22,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通22
218,融宝通03,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通03
217,融宝通13,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通13
220,融宝通23,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通23
221,融宝通04,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通04
219,融宝通14,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通14
222,融宝通15,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通15
226,融宝通24,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通24
237,融宝通27,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通27
228,融宝通07,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通07
229,融宝通08,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通08
230,融宝通18,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通18
238,融宝通28,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通28
233,融宝通19,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通19
239,融宝通29,已签约已付费,0,0,0,0,0,NA,NA,NA,0,融宝通29
241,巴斯光年,已签约已付费,0,0,0,0,0,NA,NA,NA,0,巴斯光年
279,佰慧金融,已签约已付费,0,0,0,0,0,NA,NA,NA,0,佰慧金融
280,鹊雾科技,已签约已付费,0,0,0,0,0,NA,NA,NA,0,鹊雾科技
