日期,有缺失月份数,计数
2018-08-06,0,3715
2018-08-06,1,379
2018-08-06,2,162
2018-08-06,3,139
2018-08-06,4,129
2018-08-06,5,93
2018-08-06,6,7
2018-08-07,0,3610
2018-08-07,1,284
2018-08-07,2,146
2018-08-07,3,90
2018-08-07,4,98
2018-08-07,5,84
2018-08-07,6,8
2018-08-08,0,3714
2018-08-08,1,303
2018-08-08,2,141
2018-08-08,3,96
2018-08-08,4,91
2018-08-08,5,83
2018-08-08,6,4
2018-08-09,0,3958
2018-08-09,1,267
2018-08-09,2,140
2018-08-09,3,108
2018-08-09,4,96
2018-08-09,5,80
2018-08-09,6,14
2018-08-10,0,3864
2018-08-10,1,305
2018-08-10,2,182
2018-08-10,3,128
2018-08-10,4,110
2018-08-10,5,100
2018-08-10,6,15
2018-08-11,0,3293
2018-08-11,1,209
2018-08-11,2,125
2018-08-11,3,87
2018-08-11,4,76
2018-08-11,5,88
2018-08-11,6,3
2018-08-12,0,4026
2018-08-12,1,248
2018-08-12,2,172
2018-08-12,3,135
2018-08-12,4,108
2018-08-12,5,107
2018-08-12,6,26
2018-08-13,0,5419
2018-08-13,1,360
2018-08-13,2,225
2018-08-13,3,196
2018-08-13,4,149
2018-08-13,5,147
2018-08-13,6,43
2018-08-14,0,5426
2018-08-14,1,294
2018-08-14,2,194
2018-08-14,3,192
2018-08-14,4,137
2018-08-14,5,117
2018-08-14,6,36
2018-08-15,0,5855
2018-08-15,1,351
2018-08-15,2,232
2018-08-15,3,219
2018-08-15,4,182
2018-08-15,5,157
2018-08-15,6,35
2018-08-16,0,5343
2018-08-16,1,337
2018-08-16,2,181
2018-08-16,3,179
2018-08-16,4,144
2018-08-16,5,182
2018-08-16,6,45
2018-08-17,0,5000
2018-08-17,1,340
2018-08-17,2,208
2018-08-17,3,189
2018-08-17,4,155
2018-08-17,5,186
2018-08-17,6,50
2018-08-18,0,4159
2018-08-18,1,294
2018-08-18,2,177
2018-08-18,3,145
2018-08-18,4,134
2018-08-18,5,132
2018-08-18,6,47
2018-08-19,0,3933
2018-08-19,1,224
2018-08-19,2,164
2018-08-19,3,131
2018-08-19,4,125
2018-08-19,5,129
2018-08-19,6,44
2018-08-20,0,5082
2018-08-20,1,392
2018-08-20,2,229
2018-08-20,3,171
2018-08-20,4,153
2018-08-20,5,145
2018-08-20,6,50
2018-08-21,0,4228
2018-08-21,1,330
2018-08-21,2,172
2018-08-21,3,130
2018-08-21,4,104
2018-08-21,5,141
2018-08-21,6,46
2018-08-22,0,3814
2018-08-22,1,228
2018-08-22,2,144
2018-08-22,3,132
2018-08-22,4,101
2018-08-22,5,105
2018-08-22,6,39
2018-08-23,0,3682
2018-08-23,1,267
2018-08-23,2,152
2018-08-23,3,145
2018-08-23,4,117
2018-08-23,5,120
2018-08-23,6,33
2018-08-24,0,3053
2018-08-24,1,234
2018-08-24,2,133
2018-08-24,3,121
2018-08-24,4,85
2018-08-24,5,94
2018-08-24,6,39
2018-08-25,0,3071
2018-08-25,1,239
2018-08-25,2,161
2018-08-25,3,139
2018-08-25,4,140
2018-08-25,5,114
2018-08-25,6,52
2018-08-26,0,3712
2018-08-26,1,281
2018-08-26,2,168
2018-08-26,3,142
2018-08-26,4,131
2018-08-26,5,133
2018-08-26,6,67
2018-08-27,0,4140
2018-08-27,1,297
2018-08-27,2,171
2018-08-27,3,144
2018-08-27,4,106
2018-08-27,5,141
2018-08-27,6,55
2018-08-28,0,3330
2018-08-28,1,210
2018-08-28,2,124
2018-08-28,3,106
2018-08-28,4,108
2018-08-28,5,105
2018-08-28,6,31
2018-08-29,0,3552
2018-08-29,1,245
2018-08-29,2,152
2018-08-29,3,132
2018-08-29,4,116
2018-08-29,5,128
2018-08-29,6,57
2018-08-30,0,4930
2018-08-30,1,288
2018-08-30,2,241
2018-08-30,3,223
2018-08-30,4,177
2018-08-30,5,194
2018-08-30,6,105
2018-08-31,0,2622
2018-08-31,1,171
2018-08-31,2,149
2018-08-31,3,124
2018-08-31,4,103
2018-08-31,5,135
2018-08-31,6,58
2018-09-01,0,1829
2018-09-01,1,721
2018-09-01,2,277
2018-09-01,3,111
2018-09-01,4,87
2018-09-01,5,84
2018-09-01,6,17
2018-09-02,0,2257
2018-09-02,1,307
2018-09-02,2,253
2018-09-02,3,86
2018-09-02,4,85
2018-09-02,5,66
2018-09-02,6,6
2018-09-03,0,2306
2018-09-03,1,249
2018-09-03,2,258
2018-09-03,3,106
2018-09-03,4,91
2018-09-03,5,78
2018-09-03,6,11
2018-09-04,0,2573
2018-09-04,1,210
2018-09-04,2,104
2018-09-04,3,98
2018-09-04,4,83
2018-09-04,5,89
2018-09-04,6,5
2018-09-05,0,2696
2018-09-05,1,200
2018-09-05,2,123
2018-09-05,3,100
2018-09-05,4,93
2018-09-05,5,88
2018-09-05,6,9
2018-09-06,0,1325
2018-09-06,1,110
2018-09-06,2,50
2018-09-06,3,41
2018-09-06,4,43
2018-09-06,5,29
2018-09-06,6,2
